Description,Category,Sub Category
Other Sauces,"Oil, Masala and Sauces",Sauces
Cashews,Food,Nuts
Other Dals,"Rice, Dhal and Flour",Dhal
Namkeen,Snacks and Biscuits,Snacks
Sugar,"Oil, Masala and Sauces",Masala
Banana,Vegetables and Fruits,Fruits
Sugar Cubes,"Oil, Masala and Sauces",Masala
Other Sweets,Snacks and Biscuits,Sweets
Other Rice Products,"Rice, Dhal and Flour",Rice
Utensil Scrub Pads,Kitchen Items,Cleaning
Toor Dal,"Rice, Dhal and Flour",Dhal
Buns & Pavs,Food,Bakery
Cakes,Food,Bakery
Boiled Rice,"Rice, Dhal and Flour",Rice
Urad Dal,"Rice, Dhal and Flour",Dhal
Jaggery,"Oil, Masala and Sauces",Masala
Raisins,Food,Nuts
Chips,Snacks and Biscuits,Snacks
Almonds,Food,Nuts
Root Vegetables,Vegetables and Fruits,Vegetables
Other Vegetables,Vegetables and Fruits,Vegetables
Moong Dal,"Rice, Dhal and Flour",Dhal
Healthy Snacks,Snacks and Biscuits,Snacks
Raw Peanuts,Snacks and Biscuits,Snacks
Mosquito Repellent,Household Items,Other
Whole Spices,"Oil, Masala and Sauces",Masala
Soya Products,"Oil, Masala and Sauces",Masala
Beans,Vegetables and Fruits,Vegetables
Health Drinks,Beverages,Drinks
Liquid Soaps & Bars,Personal Care,Bath
Washing Bars,Kitchen Items,Cleaning
Ghee,"Oil, Masala and Sauces",Oil
Organic F&V,Vegetables and Fruits,Fruits
Sunflower Oils,"Oil, Masala and Sauces",Oil
Shoe Polish,Personal Care,Other
Cream Biscuits,Snacks and Biscuits,Biscuits
Cookies,Snacks and Biscuits,Biscuits
Snacky Nuts,Snacks and Biscuits,Snacks
Avalakki / Poha,"Rice, Dhal and Flour",Rice
Besan,"Rice, Dhal and Flour",Flour
Raw Rice,"Rice, Dhal and Flour",Rice
Powdered Spices,"Oil, Masala and Sauces",Masala
Eggs,Food,Meat
Corn Snacks,Snacks and Biscuits,Snacks
Bread,Food,Bakery
Instant Noodles,Food,Instant
Sooji & Rava,"Rice, Dhal and Flour",Flour
Gourd & Cucumber,Vegetables and Fruits,Vegetables
Shaving Cream Foam & Gels,Personal Care,Face Packs
Brinjals,Vegetables and Fruits,Vegetables
Hair Oil,Personal Care,Face Packs
Ground Coffee,Beverages,Tea
Other Dry Fruits,Food,Nuts
Basmati Rice,"Rice, Dhal and Flour",Rice
Face Wash,Personal Care,Bath
Yogurt & Lassi,Dairy Products,Dairy Products
Wafers,Food,Instant
Instant Pastas,Food,Instant
Cooking Paste,"Oil, Masala and Sauces",Masala
Other Flours,"Rice, Dhal and Flour",Flour
Shaving Brush,Personal Care,Face Packs
Chilli & Soya Sauces,"Oil, Masala and Sauces",Sauces
Vermicelli,"Rice, Dhal and Flour",Flour
Glucose Marie & Milk Biscuits,Dairy Products,Dairy Products
Diapers & Wipes,Miscellaneous,Baby Food and Care
Tomato Ketchup,"Oil, Masala and Sauces",Sauces
Organic Rice & Rice Products,"Rice, Dhal and Flour",Rice
Other Oils,"Oil, Masala and Sauces",Oil
Hair Conditioner,Personal Care,Bath
Other Insect Repellent,Household Items,Other
Cut Vegetables,Vegetables and Fruits,Vegetables
Health Supplements,Beverages,Drinks
Other Pooja Needs,Miscellaneous,Pooja
Cleaning & Dust Cloth,Household Items,Cleaning
Rice Flour,"Rice, Dhal and Flour",Flour
Maida,"Rice, Dhal and Flour",Flour
Organic Flours,"Rice, Dhal and Flour",Flour
Regular Pasta,Food,Instant
Organic SaltSugar & Jaggery,"Oil, Masala and Sauces",Masala
Bottle & Tin Openers,Kitchen Items,Tools
Whole Grains,"Rice, Dhal and Flour",Dhal
Hand Wash,Personal Care,Bath
Exotic Vegetables,Vegetables and Fruits,Vegetables
Shampoo,Personal Care,Bath
Chinese Noodles,Food,Instant
Olive Oils,"Oil, Masala and Sauces",Oil
Liquid Detergent,Household Items,Cleaning
Hair Colors & Dyes,Personal Care,Face Packs
Shaving Blade & Razors,Personal Care,Face Packs
Ice Creams & Desserts,Snacks and Biscuits,Sweets
Vinegar,"Oil, Masala and Sauces",Oil
Ladles & Spatulas,Kitchen Items,Tools
Ready Mix,Food,Instant
Aluminium Foil & Cling Wrap,Kitchen Items,Utensil
Muffins Cookies & Rusk,Food,Bakery
Packaged Drinking Water,Beverages,Drinks
Agarbatti,Miscellaneous,Pooja
Bakery & Breads,Food,Bakery
Other Spreads,"Oil, Masala and Sauces",Sauces
Face Cream,Personal Care,Face Packs
Healthy & Digestive Biscuits,Snacks and Biscuits,Biscuits
Face Packs & Scrubs,Personal Care,Face Packs
Curd,Dairy Products,Dairy Products
Cotton & Bandages,Miscellaneous,Medicine
Oats,Food,Breakfast
Honey,"Oil, Masala and Sauces",Sauces
Toothpaste,Personal Care,Oral Hygiene
Organic Masalas & Spices,"Oil, Masala and Sauces",Masala
Rodent Control,Household Items,Other
Butter & Cream,Dairy Products,Dairy Products
Ready Baking Mixes,Food,Other
Frozen Seafood,Food,Meat
Mango Juices,Beverages,Juices
Pasta & Noodles,Food,Instant
Biscuits,Snacks and Biscuits,Biscuits
Ready To Eat & Cook,Food,Breakfast
Milk Drinks,Dairy Products,Dairy Products
Tissue Paper & Napkins,Household Items,Cleaning
Lip Care,Personal Care,Oral Hygiene
Organic Dals & Pulses,"Rice, Dhal and Flour",Dhal
Rasagulla & Gulab Jamun,Snacks and Biscuits,Sweets
Facial Tissues,Personal Care,Face Packs
Milk,Dairy Products,Dairy Products
Salty Biscuits,Snacks and Biscuits,Biscuits
Ice Cream,Snacks and Biscuits,Sweets
Cooking Sauce,"Oil, Masala and Sauces",Sauces
Organic Dry Fruits,Food,Nuts
Veg & Fruit,Vegetables and Fruits,Vegetables
Phenyles & Acids,Household Items,Cleaning
Mustard Oils,"Oil, Masala and Sauces",Oil
Home & Air Freshener,Household Items,Other
Pain Relievers,Miscellaneous,Medicine
Organic Branded Foods,Food,Other
Flakes,Food,Breakfast
Mouthwash,Personal Care,Oral Hygiene
Mens Deo,Personal Care,Body
Toilet Cleaners,Household Items,Cleaning
Jams & Sauces,"Oil, Masala and Sauces",Sauces
Ayurvedic,Miscellaneous,Food
Soup,Beverages,Juices
Ayurvedic Food,Food,Other
Sanitary Pads,Personal Care,Body
Cutlery,Kitchen Items,Tools
Tomato Sauce,"Oil, Masala and Sauces",Sauces
Vanaspati,"Oil, Masala and Sauces",Oil
Other Jams,"Oil, Masala and Sauces",Sauces
Pet Food,Miscellaneous,Food
Hand Sanitizer,Personal Care,Body
Floor Cleaners,Household Items,Cleaning
Frozen Veg Food,Food,Other
Pre & Post Wash Care,Personal Care,Bath
Baking Ingredients,"Oil, Masala and Sauces",Masala
Glass Cleaners,Household Items,Cleaning
Misc,Miscellaneous,Other
Frozen Chicken,Food,Meat
Toilet Cleaning,Household Items,Cleaning
Brushes & Scrubbers,Household Items,Cleaning
Brooms & Dust Pans,Household Items,Cleaning
Toffee & Candy,Snacks and Biscuits,Candies
Energy Drinks,Beverages,Drinks
Other Pickle,"Oil, Masala and Sauces",Sauces
Buttermilk,Dairy Products,Dairy Products
Other Juices,Beverages,Juices
Other Soft Drinks,Beverages,Drinks
Car Shampoo & Wax,Household Items,Cleaning
Antiseptics,Miscellaneous,Medicine
Grooming,Personal Care,Face Packs
Energy Powders,"Rice, Dhal and Flour",Flour
Organic Juices,Beverages,Juices
Soups,Beverages,Juices
Baby Cereal,Miscellaneous,Baby Food and Care
Baby Care Accessories,Miscellaneous,Baby Food and Care
Beverages,Beverages,Drinks
Foot Care,Personal Care,Body
Snacks & Sweets,Snacks and Biscuits,Sweets
Organic Baby Foods,Miscellaneous,Baby Food and Care
Exam Boards,Household Items,Stationery
Car Freshener,Household Items,Cleaning
Scissors Glue & Tape,Household Items,Stationery
Womens Deo,Personal Care,Body
Office Stationery,Household Items,Stationery
Ready Masalas,"Oil, Masala and Sauces",Masala
Body Wash,Personal Care,Bath
Fertilizers & Pesticides,Miscellaneous,Other
Paneer & Tofu,Dairy Products,Dairy Products
Organic Breakfast Cereals,Food,Breakfast
Green Tea,Beverages,Tea
Drain Cleaners,Household Items,Cleaning
Toilet Paper,Household Items,Other
Groundnut Oils,"Oil, Masala and Sauces",Oil
Mixed Fruit Jam,"Oil, Masala and Sauces",Sauces
Fryums & Papad,Food,Other
Disposable Plates & Utensils,Kitchen Items,Utensil
Containers,Kitchen Items,Utensil
Colours ,Miscellaneous,Pooja
Cutters Peelers & Scrapers,Kitchen Items,Tools
Battery,Household Items,Other
Chocolate,Snacks and Biscuits,Candies
Tea,Beverages,Tea
Festive Gift Packs,Miscellaneous,Other
Organic Edible Oils & Ghee,"Oil, Masala and Sauces",Oil
After Shave,Personal Care,Face Packs
Dairy & Cheese,Dairy Products,Dairy Products
Heat & Eat Ready Meals,Food,Other
Festive Gift Pack,Miscellaneous,Other
Mukhwas & Mouth Freshener,Personal Care,Oral Hygiene
Sanitary Aids,Miscellaneous,Medicine
Pens ,Household Items,Stationery
Mango Pickle,"Oil, Masala and Sauces",Sauces
Magazine,Household Items,Other
Printer Cartridges & Printing Paper,Household Items,Stationery
Body Lotion,Personal Care,Body
Talc,Personal Care,Body
Eye Care & Kajal,Personal Care,Face Packs
Cookery Books,Miscellaneous,Other
