,Exp,Folder,Mode,Frame,MeanR,VarR,MinR,Q1R,MedR,Q3R,MaxR,SkewR,KurtR,PtsR,MeanSig,VarSig,MinSig,Q1Sig,MedSig,Q3Sig,MaxSig,SkewSig,KurtSig,PtsSig,MeanRef,VarRef,MinRef,Q1Ref,MedRef,Q3Ref,MaxRef,SkewRef,KurtRef,PtsRef,MeanIR,VarIR,MinIR,Q1IR,MedIR,Q3IR,MaxIR,SkewIR,KurtIR,PtsIR
1,18_09_2024_2gSodium,01_Full,Gen,1,18.607635498046875,280659.0750234862,0,0.0,0.0,0.0,132480,238.58374355180834,59634.56264256877,1389,10.971649169921875,7674.683705507774,0,0.0,0.0,0.0,3306,16.36239528836834,358.47917245339397,14518,1.427947998046875,122.18136246409267,0,0.0,0.0,0.0,255,11.672123238254517,159.87015485679552,2517,186.03106689453125,132355.3226432465,0,0.0,0.0,0.0,2079,1.669564329681149,1.4523653182085967,14560
2,18_09_2024_2gSodium,01_Full,Gen,2,16.623214721679688,12983.759171159702,0,0.0,0.0,0.0,945,6.802798835721418,44.85318259957343,1387,10.9447021484375,7660.652978524566,0,0.0,0.0,0.0,3267,16.399485990151437,359.9178530297782,14536,1.426605224609375,122.09187272842973,0,0.0,0.0,0.0,255,11.692595563675752,160.63973441277145,2524,186.06793212890625,132382.36129098758,0,0.0,0.0,0.0,2048,1.6699921502053603,1.4594813229934287,14560
3,18_09_2024_2gSodium,01_Full,Gen,3,16.804977416992188,13085.453711187232,0,0.0,0.0,0.0,944,6.757392061535898,44.252047489937084,1407,10.967056274414062,7689.30166434473,0,0.0,0.0,0.0,3289,16.437058317889814,360.98137508251887,14528,1.421783447265625,121.9238748466596,0,0.0,0.0,0.0,255,11.737614745232632,162.01144294275332,2520,186.073974609375,132402.05904191732,0,0.0,0.0,0.0,2063,1.6697397549517787,1.455438620885297,14560
4,18_09_2024_2gSodium,01_Full,Gen,4,16.54962158203125,12914.719186868519,0,0.0,0.0,0.0,945,6.814121262995667,44.999384092986645,1382,10.944686889648438,7695.373359527202,0,0.0,0.0,0.0,3314,16.390466357508465,359.0083377292459,14528,1.422821044921875,121.8276005377993,0,0.0,0.0,0.0,255,11.708224474627928,160.8687049097767,2503,185.96226501464844,132253.16375246245,0,0.0,0.0,0.0,2038,1.6701207483525664,1.4570626224125238,14560
5,18_09_2024_2gSodium,01_Full,Gen,5,16.701034545898438,13030.397664945336,0,0.0,0.0,0.0,945,6.783230040251882,44.589257312238495,1395,10.898284912109375,7621.7061457401105,0,0.0,0.0,0.0,3274,16.351074773852503,357.4479544421775,14541,1.4193115234375,121.68581114709377,0,0.0,0.0,0.0,255,11.701535187244174,160.6473316817027,2496,186.09130859375,132466.35436415672,0,0.0,0.0,0.0,2049,1.67110304901087,1.46336225727232,14560
6,18_09_2024_2gSodium,01_Full,Gen,6,16.8023681640625,13086.81891284883,0,0.0,0.0,0.0,945,6.757226141255657,44.24127861915056,1406,10.937088012695312,7635.830072233221,0,0.0,0.0,0.0,3289,16.28427792755851,351.7933541160968,14529,1.42364501953125,121.94982787594199,0,0.0,0.0,0.0,255,11.713801270725792,161.0918629120962,2523,185.98007202148438,132285.72662313934,0,0.0,0.0,0.0,2045,1.6700696757247877,1.456681136767493,14560
7,18_09_2024_2gSodium,01_Full,Gen,7,16.53472900390625,12930.459639843553,0,0.0,0.0,0.0,948,6.821898496349275,45.09594199978452,1377,10.888931274414062,7581.024696819248,0,0.0,0.0,0.0,3282,16.326110721041303,354.7126924611629,14535,1.4173736572265625,121.16031766287051,0,0.0,0.0,0.0,255,11.725268826579732,161.72237023555343,2491,186.05955505371094,132393.20972529027,0,0.0,0.0,0.0,2038,1.6705614517376197,1.463181041886993,14560
8,18_09_2024_2gSodium,01_Full,Gen,8,16.550430297851562,12905.464802976461,0,0.0,0.0,0.0,945,6.811282719569738,44.9639860588928,1383,10.958343505859375,7719.768680996258,0,0.0,0.0,0.0,3315,16.474160386644748,362.60241812847767,14531,1.428619384765625,122.47613649722189,0,0.0,0.0,0.0,255,11.712372180566708,161.48770281489206,2515,186.06805419921875,132441.7567822002,0,0.0,0.0,0.0,2068,1.6718026065206248,1.4714374275639335,14560
9,18_09_2024_2gSodium,01_Full,Gen,9,16.544967651367188,12866.639121709155,0,0.0,0.0,0.0,944,6.810434944800101,44.993699450904096,1388,10.959060668945312,7642.76399474754,0,0.0,0.0,0.0,3277,16.200281216378208,347.1984340149896,14531,1.425872802734375,121.95492385979742,0,0.0,0.0,0.0,255,11.672625691263992,159.56144135571205,2525,186.0609893798828,132362.96623573985,0,0.0,0.0,0.0,2015,1.6684749101503842,1.4468764166320645,14560
10,18_09_2024_2gSodium,01_Full,Gen,10,16.688064575195312,13029.180726686256,0,0.0,0.0,0.0,945,6.787930822690155,44.649088029011224,1393,10.90118408203125,7559.51410016045,0,0.0,0.0,0.0,3302,16.08178109275247,339.90909802021264,14537,1.4235687255859375,121.55436944193207,0,0.0,0.0,0.0,255,11.65346180842757,159.1308952050264,2501,186.0401611328125,132369.7181136459,0,0.0,0.0,0.0,2053,1.670444768647757,1.4607900615427125,14560
11,18_09_2024_2gSodium,01_Full,Gen,11,16.63543701171875,12972.265561845154,0,0.0,0.0,0.0,944,6.793717946305522,44.724494487913375,1390,10.9962158203125,7733.921616539359,0,0.0,0.0,0.0,3278,16.381516522144285,358.2386746346267,14530,1.4323883056640625,122.68189106113277,0,0.0,0.0,0.0,255,11.682852672080465,160.2468831296529,2525,186.13699340820312,132465.09616200533,0,0.0,0.0,0.0,2049,1.669740656779784,1.4592763836652134,14560
12,18_09_2024_2gSodium,01_Full,Gen,12,16.4287109375,12838.516432762146,0,0.0,0.0,0.0,948,6.844841502960155,45.42481550482686,1370,10.94989013671875,7645.829855944961,0,0.0,0.0,0.0,3257,16.309575404042157,354.77447753745685,14532,1.42791748046875,121.86544009670615,0,0.0,0.0,0.0,255,11.672899703291899,160.01869445385225,2514,186.03570556640625,132371.890906509,0,0.0,0.0,0.0,2034,1.6703788385123068,1.4587545880388797,14560
13,18_09_2024_2gSodium,01_Full,Gen,13,16.799942016601562,13103.013825069876,0,0.0,0.0,0.0,945,6.762315651104482,44.30595152231082,1404,10.975372314453125,7672.155368818897,0,0.0,0.0,0.0,3291,16.283685207660522,352.0737584925772,14531,1.4281463623046875,122.4299566836562,0,0.0,0.0,0.0,255,11.71030008625149,161.28624845076902,2519,186.1732177734375,132523.48394213617,0,0.0,0.0,0.0,2057,1.6690497689630681,1.4514521063328143,14560
