,Exp,Folder,Mode,Frame,MeanR,VarR,MinR,Q1R,MedR,Q3R,MaxR,SkewR,KurtR,PtsR,MeanSig,VarSig,MinSig,Q1Sig,MedSig,Q3Sig,MaxSig,SkewSig,KurtSig,PtsSig,MeanRef,VarRef,MinRef,Q1Ref,MedRef,Q3Ref,MaxRef,SkewRef,KurtRef,PtsRef,MeanIR,VarIR,MinIR,Q1IR,MedIR,Q3IR,MaxIR,SkewIR,KurtIR,PtsIR
0,08_04_2024_2gSodiumForDA,00,Gen,0,83.00984042553192,247.61155670700862,0,0.0,0.0,0.0,936,2.6818413230225495,5.293796309604531,1536,36.589162234042554,139.30572494418053,0,2.0,3.0,5.0,2604,6.969025742509164,63.2442326717551,13427,4.949933510638298,20.034261378571983,0,0.0,0.0,0.0,255,5.481822108784079,32.072239856991764,1908,816.8835771276596,408.1090241687249,0,632.0,825.0,957.0,2848,0.6950800261083764,2.9549777404387196,13723
1,08_04_2024_2gSodiumForDA,00,Gen,1,80.04734042553191,243.47359728051396,0,0.0,0.0,0.0,938,2.747268128819864,5.651738417541898,1483,36.78464095744681,143.33310951317853,0,2.0,3.0,5.0,3256,7.702039606839291,85.11610106018654,13441,4.966489361702128,20.123596010624517,0,0.0,0.0,0.0,255,5.547349939652133,33.37067379067924,1911,816.9224734042554,408.71205152783915,0,631.0,825.0,958.0,2849,0.703285626417711,2.9699353049600905,13723
2,08_04_2024_2gSodiumForDA,00,Gen,2,83.02453457446809,247.17301093947216,0,0.0,0.0,0.0,940,2.6748660213505557,5.255714331534284,1541,36.249534574468086,140.77348083132878,0,2.0,3.0,5.0,3265,7.635992764608139,82.70965021520361,13471,4.892619680851064,19.936494223254698,0,0.0,0.0,0.0,255,5.58977950829526,33.86790599601019,1908,816.965625,408.11129365307835,0,632.0,826.0,958.0,2818,0.6896891090485948,2.9302028066151538,13723
3,08_04_2024_2gSodiumForDA,00,Gen,3,81.33656914893616,245.37574425795256,0,0.0,0.0,0.0,936,2.7165247892729405,5.476161686525211,1503,36.28198138297872,141.38929375343594,0,2.0,3.0,5.0,3223,7.6061030352040016,81.57536807731957,13475,4.914428191489361,20.00955368407304,0,0.0,0.0,0.0,255,5.576276944370713,33.79009547944538,1887,817.2426861702128,407.6736004546751,0,633.0,826.0,957.0,2897,0.6852238452018311,2.943073943608364,13723
4,08_04_2024_2gSodiumForDA,00,Gen,4,86.77865691489362,252.27662941552862,0,0.0,0.0,0.0,933,2.5955448291546532,4.831244599053921,1608,34.835571808510636,130.95519535105768,0,2.0,3.0,5.0,2600,6.935291288324515,63.830853395945155,13442,4.79654255319149,19.49438922998915,0,0.0,0.0,0.0,255,5.499882332327681,32.29500276922125,1871,817.4018617021277,408.72978324880995,0,633.0,825.0,959.0,2873,0.6986562842504386,2.9600795518919165,13723
5,08_04_2024_2gSodiumForDA,00,Gen,5,81.28902925531915,244.75932389790978,0,0.0,0.0,0.0,934,2.7130254101466313,5.464246249881892,1510,36.31821808510638,141.93520093284138,0,2.0,3.0,5.0,3279,7.778276511673688,87.37613423243336,13458,4.886702127659574,19.96577014347081,0,0.0,0.0,0.0,255,5.592299069703817,33.90635627232951,1899,817.9076462765958,408.5850939979078,0,633.0,826.0,960.0,2848,0.6940985362542316,2.9481270657742966,13723
6,08_04_2024_2gSodiumForDA,00,Gen,6,80.09607712765957,243.3225409220882,0,0.0,0.0,0.0,943,2.743079291609021,5.629144430824017,1486,36.45152925531915,142.4671478239722,0,2.0,3.0,5.0,3230,7.826469416056486,88.36256789164148,13448,4.9316489361702125,20.0202685446564,0,0.0,0.0,0.0,255,5.598734289073587,34.2267567579195,1911,817.8505319148936,408.37713001448304,0,632.0,827.0,960.0,2863,0.6870685784629912,2.9241950979395073,13723
7,08_04_2024_2gSodiumForDA,00,Gen,7,79.46609042553192,242.70101872146856,0,0.0,0.0,0.0,936,2.761359898880216,5.730007463171393,1472,35.953457446808514,140.22913937766023,0,2.0,3.0,5.0,3250,7.803325854361893,88.96617201007041,13461,4.870212765957447,19.88892803711072,0,0.0,0.0,0.0,255,5.585475684994097,33.904998851701656,1869,818.7630984042553,408.5909820586539,0,635.0,826.0,961.0,2863,0.6923905123975908,2.956945720766469,13723
8,08_04_2024_2gSodiumForDA,00,Gen,8,85.73550531914894,250.48959663284862,0,0.0,0.0,0.0,934,2.612978998263333,4.926687671272581,1594,34.68238031914893,130.75576645342815,0,2.0,3.0,4.0,2629,7.032527758433408,66.1453922077576,13445,4.765691489361702,19.401692828931846,0,0.0,0.0,0.0,255,5.537420711972688,32.94935638461457,1879,818.3188164893617,408.2565814796764,0,634.0,825.0,959.0,2829,0.6882862929930272,2.9491783102281817,13723
9,08_04_2024_2gSodiumForDA,00,Gen,9,86.3778590425532,251.32675968702182,0,0.0,0.0,0.0,936,2.5988441734109995,4.849747226014434,1606,34.62134308510638,134.0029975820022,0,2.0,3.0,5.0,3209,7.884280762756228,93.3932271954885,13467,4.718484042553191,19.40927829343703,0,0.0,0.0,0.0,255,5.638290948510974,34.5341293602873,1855,818.943085106383,408.76531522489483,0,634.75,827.0,962.0,2897,0.6905518678567117,2.964752611953002,13723
